Date : 2023-08-14 00:00:06
Directory : c:\TPA\TPA-Web\tpa-web-frontend
Total : 74 files,  17957 codes, 397 comments, 1465 blanks, all 19819 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\StoryNavbar.module.scss           | SCSS               |         96 |          0 |         32 |        128 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\CreatePostModal.tsx             | TypeScript JSX     |        152 |          1 |         22 |        175 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\PostModal.tsx                   | TypeScript JSX     |        183 |          0 |         18 |        201 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\CreatePostModal.module.scss | SCSS               |        151 |          0 |         49 |        200 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\PostModal.module.scss       | SCSS               |        235 |          0 |         79 |        314 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ActivatePage.module.scss                    | SCSS               |         31 |          0 |          7 |         38 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ChangePasswordPage.module.scss              | SCSS               |         43 |          0 |         15 |         58 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreatePhotoStoryPage.module.scss            | SCSS               |        139 |          0 |         47 |        186 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateReelPage.module.scss                  | SCSS               |        165 |          0 |         53 |        218 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateStoryPage.module.scss                 | SCSS               |        135 |          0 |         38 |        173 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateTextStoryPage.module.scss             | SCSS               |        229 |          0 |         61 |        290 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ForgotPage.module.scss                      | SCSS               |         43 |          0 |         15 |         58 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\HomePage.module.scss                        | SCSS               |        165 |          0 |         46 |        211 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\LoginPage.module.scss                       | SCSS               |         76 |          0 |         27 |        103 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ReelPage.module.scss                        | SCSS               |        230 |          0 |         77 |        307 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\RegisterPage.module.scss                    | SCSS               |         69 |          0 |         14 |         83 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\StoryPage.module.scss                       | SCSS               |         93 |          1 |         29 |        123 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\UserProfilePage.module.scss                 | SCSS               |        475 |          3 |        141 |        619 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ActivatePage.tsx                          | TypeScript JSX     |         37 |          0 |          9 |         46 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ChangePassword.tsx                        | TypeScript JSX     |         83 |          0 |         13 |         96 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ForgotPage.tsx                            | TypeScript JSX     |         59 |          0 |          6 |         65 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\LoginPage.tsx                             | TypeScript JSX     |         73 |          0 |         12 |         85 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\RegisterPage.tsx                          | TypeScript JSX     |         87 |          0 |         13 |        100 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\FriendsPage.tsx                            | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\HomePage.tsx                               | TypeScript JSX     |        162 |          0 |         19 |        181 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\UserProfilePage.tsx                        | TypeScript JSX     |        145 |        228 |         37 |        410 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\reel\CreateReelPage.tsx                    | TypeScript JSX     |        134 |         45 |         28 |        207 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\reel\ReelPage.tsx                          | TypeScript JSX     |        196 |          0 |         42 |        238 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreatePhotoStoryPage.tsx             | TypeScript JSX     |        108 |         35 |         26 |        169 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreateStoryPage.tsx                  | TypeScript JSX     |         46 |          0 |          7 |         53 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreateTextStoryPage.tsx              | TypeScript JSX     |        137 |          0 |         20 |        157 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\StoryPage.tsx                        | TypeScript JSX     |         74 |          0 |         26 |        100 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\provider\ApolloProvider.tsx                          | TypeScript JSX     |         17 |          0 |          7 |         24 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\provider\FirebaseProvider.tsx                        | TypeScript JSX     |         13 |          7 |          3 |         23 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\PostQuery.tsx                                  | TypeScript JSX     |        167 |          0 |          6 |        173 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\ReelQuery.tsx                                  | TypeScript JSX     |        228 |          0 |          7 |        235 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\StoryQuery.tsx                                 | TypeScript JSX     |         46 |          0 |          3 |         49 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\UserQuery.tsx                                  | TypeScript JSX     |        148 |          0 |         14 |        162 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\vite-env.d.ts                                        | TypeScript         |          0 |          1 |          1 |          2 |
| c:\TPA\TPA-Web\tpa-web-frontend\tsconfig.json                                            | JSON with Comments |         21 |          2 |          3 |         26 |
| c:\TPA\TPA-Web\tpa-web-frontend\tsconfig.node.json                                       | JSON               |         10 |          0 |          1 |         11 |
| c:\TPA\TPA-Web\tpa-web-frontend\vite.config.ts                                           | TypeScript         |          5 |          1 |          2 |          8 |
| Total                                                                                    |                    |     17,957 |        397 |      1,465 |     19,819 |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
