Date : 2023-08-20 15:06:18
Directory : c:\TPA\TPA-Web\tpa-web-frontend
Total : 104 files,  22979 codes, 641 comments, 2460 blanks, all 26080 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\page\main (Files)                                                                     |          6 |        727 |        251 |        134 |      1,112 |
| src\page\main\reel                                                                        |          2 |        330 |         45 |         70 |        445 |
| src\page\main\story                                                                       |          4 |        365 |         35 |         77 |        477 |
| src\provider                                                                              |          2 |         54 |          7 |         12 |         73 |
| src\query                                                                                 |          7 |      1,139 |          0 |         59 |      1,198 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                  | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\TPA\TPA-Web\tpa-web-frontend\.eslintrc.cjs                                             | JavaScript         |         18 |          0 |          1 |         19 |
| c:\TPA\TPA-Web\tpa-web-frontend\README.md                                                 | Markdown           |         19 |          0 |          9 |         28 |
| c:\TPA\TPA-Web\tpa-web-frontend\helper\JWTToken.tsx                                       | TypeScript JSX     |         16 |          0 |          7 |         23 |
| c:\TPA\TPA-Web\tpa-web-frontend\helper\UserHelper.tsx                                     | TypeScript JSX     |          8 |          0 |          4 |         12 |
| c:\TPA\TPA-Web\tpa-web-frontend\index.html                                                | HTML               |         13 |          0 |          1 |         14 |
| c:\TPA\TPA-Web\tpa-web-frontend\package-lock.json                                         | JSON               |     11,887 |          0 |          1 |     11,888 |
| c:\TPA\TPA-Web\tpa-web-frontend\package.json                                              | JSON               |         50 |          0 |          1 |         51 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\App.tsx                                               | TypeScript JSX     |         30 |         73 |          1 |        104 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\helper\DateHelper.tsx                                 | TypeScript JSX     |         38 |          0 |          3 |         41 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\helper\TextHelper.tsx                                 | TypeScript JSX     |         39 |          0 |         12 |         51 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\helper\UserHelper.tsx                                 | TypeScript JSX     |          4 |          0 |          1 |          5 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\index.css                                             | CSS                |         99 |          0 |         22 |        121 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\main.tsx                                              | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\model\ChatModel.tsx                                   | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\model\GroupModel.tsx                                  | TypeScript JSX     |         27 |          0 |          4 |         31 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\model\NotificationModel.tsx                           | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\model\PostModel.tsx                                   | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\model\ReelModel.tsx                                   | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\model\StoryModel.tsx                                  | TypeScript JSX     |          7 |          0 |          1 |          8 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\model\UserModel.tsx                                   | TypeScript JSX     |         22 |          0 |          4 |         26 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\ChatRoomComponent.tsx                  | TypeScript JSX     |        100 |          0 |         18 |        118 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\EditorText.tsx                         | TypeScript JSX     |         59 |          1 |         13 |         73 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\FriendProfile.tsx                      | TypeScript JSX     |        272 |          2 |         51 |        325 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\FriendsNavbar.tsx                      | TypeScript JSX     |         81 |          0 |         18 |         99 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\GroupProfile.tsx                       | TypeScript JSX     |        140 |        191 |         36 |        367 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\MasterLayout.tsx                       | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\MentionComponent.tsx                   | TypeScript JSX     |         85 |          0 |         21 |        106 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\Navbar.tsx                             | TypeScript JSX     |        214 |          0 |         36 |        250 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\StoryNavbar.tsx                        | TypeScript JSX     |         83 |          0 |         21 |        104 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\CommentCard.tsx                   | TypeScript JSX     |        149 |          3 |         20 |        172 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\HomeReelCard.tsx                  | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\HomeStoryCard.tsx                 | TypeScript JSX     |         19 |          0 |          3 |         22 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\PostCard.tsx                      | TypeScript JSX     |        158 |          0 |         15 |        173 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\ReplyCard.tsx                     | TypeScript JSX     |        136 |          2 |         20 |        158 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\UserChat.tsx                      | TypeScript JSX     |         52 |          0 |          9 |         61 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\CommentCard.module.scss       | SCSS               |        111 |          2 |         30 |        143 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\HomeReelCard.module.scss      | SCSS               |         45 |          0 |         10 |         55 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\HomeStoryCard.module.scss     | SCSS               |         57 |          0 |         10 |         67 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\PostCard.module.scss          | SCSS               |        139 |          0 |         50 |        189 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\ReplyCard.module.scss         | SCSS               |        107 |          4 |         33 |        144 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\UserChat.module.scss          | SCSS               |         61 |          0 |         20 |         81 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\ChatRoomComponent.module.scss      | SCSS               |        117 |          4 |         33 |        154 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\EditorText.module.scss             | SCSS               |         16 |          3 |          3 |         22 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\FriendProfile.module.scss          | SCSS               |        445 |          1 |        131 |        577 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\FriendsNavbar.module.scss          | SCSS               |        112 |          0 |         36 |        148 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\GroupProfile.module.scss           | SCSS               |        420 |          1 |        120 |        541 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\MasterLayout.module.scss           | SCSS               |         11 |          0 |          5 |         16 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\Navbar.module.scss                 | SCSS               |        323 |          2 |         97 |        422 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\StoryNavbar.module.scss            | SCSS               |         96 |          0 |         32 |        128 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\CreateGroupModal.tsx             | TypeScript JSX     |         67 |          1 |         12 |         80 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\CreatePostModal.tsx              | TypeScript JSX     |        315 |          2 |         43 |        360 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\InviteGroupModal.tsx             | TypeScript JSX     |        112 |          0 |         14 |        126 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\PostModal.tsx                    | TypeScript JSX     |        202 |          1 |         22 |        225 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\CreateGroupModal.module.scss | SCSS               |        243 |          0 |         67 |        310 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\CreatePostModal.module.scss  | SCSS               |        298 |          0 |         85 |        383 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\InviteGroupModal.module.scss | SCSS               |        145 |          0 |         35 |        180 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\PostModal.module.scss        | SCSS               |        235 |          0 |         79 |        314 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ActivatePage.module.scss                     | SCSS               |         31 |          0 |          7 |         38 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ChangePasswordPage.module.scss               | SCSS               |         43 |          0 |         15 |         58 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ChatsPage.module.scss                        | SCSS               |        112 |          2 |         34 |        148 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreatePhotoStoryPage.module.scss             | SCSS               |        139 |          0 |         47 |        186 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateReelPage.module.scss                   | SCSS               |        165 |          0 |         53 |        218 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateStoryPage.module.scss                  | SCSS               |        135 |          0 |         38 |        173 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateTextStoryPage.module.scss              | SCSS               |        229 |          0 |         61 |        290 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ForgotPage.module.scss                       | SCSS               |         43 |          0 |         15 |         58 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\FriendsPage.module.scss                      | SCSS               |        118 |          0 |         41 |        159 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\GroupsPage.module.scss                       | SCSS               |        114 |          0 |         35 |        149 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\HomePage.module.scss                         | SCSS               |        169 |          0 |         47 |        216 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\LoginPage.module.scss                        | SCSS               |         76 |          0 |         27 |        103 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\NotificicationPage.module.scss               | SCSS               |         77 |          0 |         18 |         95 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ReelPage.module.scss                         | SCSS               |        230 |          0 |         78 |        308 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\RegisterPage.module.scss                     | SCSS               |         69 |          0 |         14 |         83 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\StoryPage.module.scss                        | SCSS               |         93 |          1 |         29 |        123 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\UserProfilePage.module.scss                  | SCSS               |        518 |          3 |        149 |        670 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ActivatePage.tsx                           | TypeScript JSX     |         37 |          0 |          9 |         46 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ChangePassword.tsx                         | TypeScript JSX     |         83 |          0 |         13 |         96 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ForgotPage.tsx                             | TypeScript JSX     |         59 |          0 |          6 |         65 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\LoginPage.tsx                              | TypeScript JSX     |         73 |          0 |         12 |         85 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\RegisterPage.tsx                           | TypeScript JSX     |         87 |          0 |         13 |        100 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\ChatsPage.tsx                               | TypeScript JSX     |        102 |          0 |         18 |        120 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\FriendsPage.tsx                             | TypeScript JSX     |         96 |          0 |         19 |        115 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\GroupsPage.tsx                              | TypeScript JSX     |         84 |          0 |         20 |        104 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\HomePage.tsx                                | TypeScript JSX     |        162 |          0 |         19 |        181 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\NotificationsPage.tsx                       | TypeScript JSX     |         81 |          0 |         11 |         92 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\UserProfilePage.tsx                         | TypeScript JSX     |        202 |        251 |         47 |        500 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\reel\CreateReelPage.tsx                     | TypeScript JSX     |        134 |         45 |         28 |        207 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\reel\ReelPage.tsx                           | TypeScript JSX     |        196 |          0 |         42 |        238 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreatePhotoStoryPage.tsx              | TypeScript JSX     |        108 |         35 |         26 |        169 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreateStoryPage.tsx                   | TypeScript JSX     |         46 |          0 |          7 |         53 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreateTextStoryPage.tsx               | TypeScript JSX     |        137 |          0 |         20 |        157 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\StoryPage.tsx                         | TypeScript JSX     |         74 |          0 |         24 |         98 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\provider\ApolloProvider.tsx                           | TypeScript JSX     |         41 |          0 |          9 |         50 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\provider\FirebaseProvider.tsx                         | TypeScript JSX     |         13 |          7 |          3 |         23 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\ChatQuery.tsx                                   | TypeScript JSX     |        119 |          0 |          5 |        124 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\GroupQuery.tsx                                  | TypeScript JSX     |        194 |          0 |         15 |        209 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\NotificationQuery.tsx                           | TypeScript JSX     |         28 |          0 |          2 |         30 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\PostQuery.tsx                                   | TypeScript JSX     |        292 |          0 |          9 |        301 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\ReelQuery.tsx                                   | TypeScript JSX     |        228 |          0 |          7 |        235 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\StoryQuery.tsx                                  | TypeScript JSX     |         46 |          0 |          3 |         49 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\query\UserQuery.tsx                                   | TypeScript JSX     |        232 |          0 |         18 |        250 |
| c:\TPA\TPA-Web\tpa-web-frontend\src\vite-env.d.ts                                         | TypeScript         |          0 |          1 |          1 |          2 |
| c:\TPA\TPA-Web\tpa-web-frontend\tsconfig.json                                             | JSON with Comments |         21 |          2 |          3 |         26 |
| c:\TPA\TPA-Web\tpa-web-frontend\tsconfig.node.json                                        | JSON               |         10 |          0 |          1 |         11 |
| c:\TPA\TPA-Web\tpa-web-frontend\vite.config.ts                                            | TypeScript         |         13 |          1 |          1 |         15 |
| Total                                                                                     |                    |     22,979 |        641 |      2,460 |     26,080 |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
